======== Profiling result:
======== Event result:
Invocations                                Event Name         Min         Max         Avg       Total
Device "GeForce GTX 560 Ti (0)"
    Kernel: void mtf_cuda_2buffers<int=4096, int=4, unsigned int>(unsigned char const *, unsigned char*, int, int)
          1                        l1_local_load_miss           0           0           0           0
          1                        l1_local_store_hit           0           0           0           0
          1                       l1_local_store_miss           0           0           0           0
          1                        l1_global_load_hit    18199072    18199072    18199072    18199072
          1                       l1_global_load_miss    19034464    19034464    19034464    19034464
          1          uncached_global_load_transaction           0           0           0           0
          1                  global_store_transaction    37224448    37224448    37224448    37224448
          1                   l1_shared_bank_conflict           0           0           0           0
          1                           prof_trigger_00           0           0           0           0
          1                           prof_trigger_01           0           0           0           0
          1                           prof_trigger_02           0           0           0           0
          1                           prof_trigger_03           0           0           0           0
          1                           prof_trigger_04           0           0           0           0
          1                           prof_trigger_05           0           0           0           0
          1                           prof_trigger_06           0           0           0           0
          1                           prof_trigger_07           0           0           0           0
          1                     fb_subp0_read_sectors     1387587     1387587     1387587     1387587
          1                     fb_subp1_read_sectors     1395697     1395697     1395697     1395697
          1                    fb_subp0_write_sectors    18158878    18158878    18158878    18158878
          1                    fb_subp1_write_sectors    18158284    18158284    18158284    18158284
          1              l2_subp0_write_sector_misses    18159734    18159734    18159734    18159734
          1              l2_subp1_write_sector_misses    18158284    18158284    18158284    18158284
          1               l2_subp0_read_sector_misses     1390277     1390277     1390277     1390277
          1               l2_subp1_read_sector_misses     1392649     1392649     1392649     1392649
          1             l2_subp0_write_sector_queries    18352128    18352128    18352128    18352128
          1             l2_subp1_write_sector_queries    18352128    18352128    18352128    18352128
          1              l2_subp0_read_sector_queries    38106904    38106904    38106904    38106904
          1              l2_subp1_read_sector_queries    37920228    37920228    37920228    37920228
          1          l2_subp0_read_tex_sector_queries           0           0           0           0
          1          l2_subp1_read_tex_sector_queries           0           0           0           0
          1                 l2_subp0_read_hit_sectors    37320760    37320760    37320760    37320760
          1                 l2_subp1_read_hit_sectors    37435744    37435744    37435744    37435744
          1             l2_subp0_read_tex_hit_sectors           0           0           0           0
          1             l2_subp1_read_tex_hit_sectors           0           0           0           0
          1                         elapsed_cycles_sm   628071896   628071896   628071896   628071896
          1       l2_subp0_read_sysmem_sector_queries           0           0           0           0
          1       l2_subp1_read_sysmem_sector_queries           0           0           0           0
          1      l2_subp0_write_sysmem_sector_queries           0           0           0           0
          1      l2_subp1_write_sysmem_sector_queries           2           2           2           2
          1        l2_subp0_total_read_sector_queries    38355589    38355589    38355589    38355589
          1        l2_subp1_total_read_sector_queries    38473928    38473928    38473928    38473928
          1       l2_subp0_total_write_sector_queries    18352130    18352130    18352130    18352130
          1       l2_subp1_total_write_sector_queries    18352133    18352133    18352133    18352133
          1                                atom_count           0           0           0           0
          1                                gred_count           0           0           0           0
          1                             gld_inst_8bit    36713217    36713217    36713217    36713217
          1                            gld_inst_16bit           0           0           0           0
          1                            gld_inst_32bit           0           0           0           0
          1                            gld_inst_64bit           0           0           0           0
          1                           gld_inst_128bit           0           0           0           0
          1                             gst_inst_8bit    36704256    36704256    36704256    36704256
          1                            gst_inst_16bit           0           0           0           0
          1                            gst_inst_32bit           0           0           0           0
          1                            gst_inst_64bit           0           0           0           0
          1                           gst_inst_128bit           0           0           0           0
    Kernel: void mtf_cuda_2buffers_depth32<int=4096, int=4, int=2, unsigned int, int=32>(unsigned char const *, unsigned char*, int, int)
          1                                local_load           0           0           0           0
          1                               local_store           0           0           0           0
          1                               gld_request    36717314    36717314    36717314    36717314
          1                               gst_request    36708352    36708352    36708352    36708352
          1                               shared_load    36708352    36708352    36708352    36708352
          1                              shared_store    73421110    73421110    73421110    73421110
          1                                    branch     1156101     1156101     1156101     1156101
          1                          divergent_branch           0           0           0           0
          1                             active_cycles   330732874   330732874   330732874   330732874
          1                            inst_issued1_0   168221301   168221301   168221301   168221301
          1                            inst_issued2_0   114757258   114757258   114757258   114757258
          1                            inst_issued1_1   168141460   168141460   168141460   168141460
          1                            inst_issued2_1   114706052   114706052   114706052   114706052
          1                             inst_executed   795086262   795086262   795086262   795086262
          1                            warps_launched        4484        4484        4484        4484
          1                          threads_launched      143488      143488      143488      143488
          1                    thread_inst_executed_0  9051990848  9051990848  9051990848  9051990848
          1                    thread_inst_executed_2  3672228160  3672228160  3672228160  3672228160
          1                    thread_inst_executed_1  9047951808  9047951808  9047951808  9047951808
